"MageForge","MageForge"
"Toolbar","Toolbar"
"General Toolbar Settings","General Toolbar Settings"
"Show Toolbar","Show Toolbar"
"Enable or disable the MageForge Toolbar. Default: Yes.","Enable or disable the MageForge Toolbar. Default: Yes."
"Theme","Theme"
"Choose between Dark, Light, or Auto (System Preference) theme.","Choose between Dark, Light, or Auto (System Preference) theme."
"Show Button Labels","Show Button Labels"
"Show text labels on the Toolbar and Inspector buttons. Default: Yes.","Show text labels on the Toolbar and Inspector buttons. Default: Yes."
"Toolbar Position","Toolbar Position"
"Position of the MageForge Toolbar on the page. Default: Bottom Left.","Position of the MageForge Toolbar on the page. Default: Bottom Left."
"Dark","Dark"
"Light","Light"
"Auto (System Preference)","Auto (System Preference)"
"Bottom Left","Bottom Left"
"Bottom Right","Bottom Right"
"Top Left","Top Left"
"Top Right","Top Right"
